#center  user       password                 host             rinex_path       rin_hrate_1hz      rin_hrate_5hz
cddis anonymous @geoazur.unice.fr gdc.cddis.eosdis.nasa.gov gnss/data/daily/ gnss/data/highrate/ '..'
sopac anonymous anonymous http://garner.ucsd.edu /pub/rinex/ pub/highrate/cache/rinex/ '..'
unavco '......' '.......' https://data.unavco.org /archive/gnss/rinex/obs/ /archive/gnss/highrate/1-Hz/rinex/ '..'
renag '.......' '.......' https://renag.resif.fr /pub/data/ /pub/data_1s '..'
ign anonymous anonymous ftp://rgpdata.ign.fr /pub/data/ '..' '..'
ergnss '......' '.......' https://datos-geodesia.ign.es /euref/obs/ '..' '..'
ngs '.........' '.......' https://geodesy.noaa.gov /corsdata/rinex/ '..' '..'
gfz '.........' '.......' https://isdc-data.gfz.de /gnss/data/daily/ '..' '..'
ramsac '....' '.........' https://wilkilen.fcaglp.unlp.edu.ar/gnss/ rinex2/RAMSAC/ '..' '..'
ramsac_hr '....' '......' ramsac.ign.gob.ar '..' '..' '..'
ramsac_5s '....' '......' ramsac.ign.gob.ar '..' '..' '..'
ramsac_15s '...' '......' ramsac.ign.gob.ar '..' '..' '..'
ibge '......' '.........' https://geoftp.ibge.gov.br/informacoes_sobre_posicionamento_geodesico/rbmc /dados/ '..' '..'
argn '......' '.........' https://ga-gnss-data-rinex-v1.s3.amazonaws.com/index.html#public /daily/ '..' '..'
cacsa '......' '........' https://cacsa.nrcan.gc.ca /gps/data/gpsdata/ '..' '..'
noanet '.....' '........' https://www.gein.noa.gr /services/GPSData/ '..' '..'
euref '......' '........' https://igs.bkg.bund.de/root_ftp/ EUREF/obs/ '..' '..'
nzealand '.....' '......' https://data.geonet.org.nz /gnss/rinex/ '..' '..'
gink '.......' '........' https://gnss-data.kadaster.nl /data/daily/ '..' '..'
sonel anonymous anonymous ftp://ftp.sonel.org /gps/data/ '..' '..'
wuhan anonymous anonymous ftp://igs.gnsswhu.cn /pub/gps/data/daily '..' '..'
